PLT001  Calculate a course intercept
IAR026  Recall principles of corrosion control
IAR027  Recall principles of sheet metal forming
IAR028  Recall principles of system fundamentals
IAR029  Recall principles of weight and balance
IAR030  Recall regulatory requirements
IAR031  Recall regulatory specific
IAR032  Recall repair fundamentals
AMG001  Ability to draw / sketch repairs / alterations
AMG002  Calculate center of gravity
AMG003  Calculate weight and balance
AMG004  Determine correct data
AMG005  Determine regulatory requirement.
AMG006  Interpret drag ratio from charts
AMG007  Recall aerodynamic fundamentals
AMG008  Recall air density
AMG009  Recall aircraft cleaning - materials / techniques
AMG010  Recall aircraft component markings
AMG011  Recall aircraft control cables - install / inspect / repair / service
AMG012  Recall aircraft corrosion - principles / control / prevention
AMG013  Recall aircraft drawings - detail / assembly
AMG014  Recall aircraft drawings / blueprints - lines / symbols / sketching
AMG015  Recall aircraft electrical system - install / inspect / repair / service
AMG016  Recall aircraft engines - performance charts
AMG017  Recall aircraft hardware - bolts / nuts / fasteners / fittings / valves
AMG018  Recall aircraft instruments - tachometer indications / dual tachometers
AMG019  Recall aircraft metals - inspect / test / repair / identify / heat treat
AMG020  Recall aircraft metals - types / tools / fasteners
AMG021  Recall aircraft publications - aircraft listings
AMG022  Recall aircraft records - required / destroyed
AMG023  Recall aircraft repair - major
AMG024  Recall airframe - inspections
AMG025  Recall airworthiness certificates - validity / requirements
AMG026  Recall ATA codes
AMG027  Recall basic physics - matter / energy / gas
AMG028  Recall data - approved
AMG029  Recall dissymmetry
AMG030  Recall effects of frost / snow on airfoils
AMG031  Recall electrical system - components / operating principles / characteristics / symbols
AMG032  Recall environmental factors affecting maintenance performance
AMG033  Recall external loading
AMG034  Recall flight characteristics - autorotation / compressibility
AMG035  Recall flight operations - air taxi
AMG036  Recall fluid lines - install / inspect / repair / service
AMG037  Recall fluid lines - material / coding
AMG038  Recall forces acting on aircraft - angle of incidence
AMG039  Recall forces acting on aircraft - yaw / adverse yaw
AMG040  Recall fuel - types / characteristics / contamination / fueling / defueling / dumping
AMG041  Recall fundamental inspection principles - airframe / engine
AMG042  Recall fundamental material properties
AMG043  Recall generator system - components / operating principles / characteristics
AMG044  Recall geometry
AMG045  Recall ground operations - start / move / service / secure aircraft
AMG046  Recall helicopter engine control system
AMG047  Recall helicopter flight controls
AMG048  Recall information on an Airworthiness Directive
AMG049  Recall instrument panel mounting
AMG050  Recall maintenance error management
AMG051  Recall maintenance publications - service / parts / repair
AMG052  Recall maintenance resource management
AMG053  Recall mathematics - percentages / decimals / fractions / ratio / general
AMG054  Recall penalties - falsification / cheating
AMG055  Recall physics - work forces
AMG056  Recall pitch control - collective / cyclic
AMG057  Recall precision measuring tools - meters / gauges / scales / calipers
AMG058  Recall reciprocating engine - components / operating principles / characteristics
AMG059  Recall regulations - aircraft inspection / records / expiration
AMG060  Recall regulations - aircraft operator certificate
AMG061  Recall regulations - aircraft registration / marks
AMG062  Recall regulations - Airworthiness Directives
AMG063  Recall regulations - airworthiness requirements / responsibilities
AMG064  Recall regulations - certificate of maintenance review requirements
AMG065  Recall regulations - Certificate of Release
AMG066  Recall regulations - certification of aircraft and components
AMG067  Recall regulations - change of address
AMG068  Recall regulations - check periods
AMG069  Recall regulations -  Determine mass and balance
AMG070  Recall regulations - display / inspection of licenses and certificates
AMG071  Recall regulations - emergency equipment
AMG072  Recall regulations - flight / operating manual marking / placard
AMG073  Recall regulations - housing and facility requirements
AMG074  Recall regulations - instrument / equipment requirements
AMG075  Recall regulations - maintenance control / procedure manual
AMG076  Recall regulations - maintenance reports / records / entries
AMG077  Recall regulations - maintenance requirements
AMG078  Recall regulations - minimum equipment list
AMG079  Recall regulations - minor / major repairs
AMG080  Recall regulations - persons authorized for return to service
AMG081  Recall regulations - persons authorized to perform maintenance
AMG082  Recall regulations - privileges / limitations of maintenance certificates / licenses
AMG083  Recall regulations - privileges of approved maintenance organizations
AMG084  Recall regulations - reapplication after revocation / suspension
AMG085  Recall regulations - reporting failures / malfunctions / defects
AMG086  Recall regulations - return to service
AMG087  Recall regulations - special airworthiness certificates / requirements
AMG088  Recall regulations - special flight permit
AMG089  Recall regulations - weighing an aircraft
AMG090  Recall repair fundamentals - turnbuckles
AMG091  Recall rotor system - components / operating principles / characteristics
AMG092  Recall rotorcraft vibration - characteristics / sources
AMG093  Recall starter / ignition system - components / operating principles / characteristics
AMG094  Recall starter system - starting procedures
AMG095  Recall turbine engines - components / operational characteristics / associated instruments
AMG096  Recall turbine engines - install / inspect / repair / service / hazards
AMG097  Recall type certificate data sheet (TCDS) / supplemental type certificate (STC)
AMG098  Recall welding types / techniques / equipment
AMG099  Recall work / power / force / motion
AMG100  Recall mathematics – extract roots / radicals / scientific notation
AMG101  Recall positive / negative algebraic operations – addition / subtraction / multiplication / division
AMG102  Recall aircraft electrical circuit diagrams – read /  Interpret / troubleshoot
AMG103  Define maintenance resource management
AMG104  Recall human reliability in maintenance errors
AMG105  Recall environmental factors leading to maintenance errors
AMG106  Recall fatigue in maintenance errors causes / interventions
AMG107  Recall error management
AMG108  Recall maintenance resource management
AMG109  Recall error management in shift turnover
AMG110  Recall error capture / duplicate inspection
AMG111  Recall ergonomic interventions to maintenance errors
AMG112  Recall interventions to prevent cross-connection maintenance errors
AMG113  Recall interventions to prevent shift / task turnover errors
AMG115  Recall environmental factors affecting maintenance performance – lighting / temperature / noise / air quality
AMG116  Recall error intervention – interruptions / access
AMA001  Recall aerodynamic fundamentals
AMA002  Recall air conditioning system - components / operating principles / characteristics
AMA003  Recall aircraft component markings
AMA004  Recall aircraft components material - flame resistant
AMA005  Recall aircraft cooling system - charging / leaking / oil / pressure / water
AMA006  Recall aircraft cooling system - components / operating principles / characteristics
AMA007  Recall aircraft corrosion - principles / control / prevention
AMA008  Recall aircraft engines - indicating system
AMA009  Recall aircraft exterior lighting - systems / components
AMA010  Recall aircraft flight indicator system
AMA011  Recall aircraft hardware - bolts / nuts / fasteners / fittings / valves
AMA012  Recall aircraft heating system - exhaust jacket inspection
AMA013  Recall aircraft instruments - install / inspect / adjust / repair / markings
AMA014  Recall aircraft instruments - types / components / operating principles / characteristics
AMA015  Recall aircraft lighting - install / inspect / repair / service
AMA016  Recall aircraft metals - inspect / test / repair / identify
AMA017  Recall aircraft metals - types / tools / fasteners
AMA018  Recall aircraft warning systems - navigation / stall / takeoff
AMA019  Recall airframe - inspections
AMA020  Recall airframe - repair / component installation
AMA021  Recall airframe design - structures / components
AMA022  Recall alternators - components / operating principles / characteristics
AMA023  Recall antenna system - install / inspect / repair / service
AMA024  Recall anti-icing / deicing - methods / systems
AMA025  Recall autopilot - components / operating principles / characteristics
AMA026  Recall autopilot - install / inspect / repair / service
AMA027  Recall avionics - components / operating principles / characteristics
AMA028  Recall avionics - install / inspect / repair / service
AMA029  Recall basic hand tools / torque values
AMA030  Recall batteries - capacity / charging / types / storage / rating / precautions
AMA031  Recall brake system - components / operating principles / characteristics
AMA032  Recall brake system - install / inspect / repair / service
AMA033  Recall carburetor - icing / anti-icing
AMA034  Recall chemical rain repellant
AMA035  Recall combustion heaters - components / operating principles / characteristics
AMA036  Recall compass - components / operating principles / characteristics
AMA037  Recall composite materials - types / repairs / techniques / processes
AMA038  Recall control cables - install / inspect / repair / service
AMA039  Recall DC electric motors - components / operating principles / characteristics
AMA040  Recall dope and fabric - materials / techniques / hazards
AMA041  Recall electrical system - components / operating principles / characteristics / symbols
AMA042  Recall electrical system - install / inspect / repair / service
AMA043  Recall electronic test equipment
AMA044  Recall Emergency Locator Transmitter (ELT) - operation / battery / testing
AMA045  Recall fiberglass - install / troubleshoot / service / repair
AMA046  Recall fire detection system - types / components / operating principles / characteristics
AMA047  Recall fire detection systems - install / inspect / repair / service
AMA048  Recall fire extinguishing systems - components / operating principles / characteristics
AMA050  Recall flight characteristics - longitudinal stability / instability
AMA051  Recall fluid lines - material / coding
AMA052  Recall fuel - types / characteristics / contamination / fueling / defueling / dumping
AMA053  Recall fuel / oil - anti-icing / deicing
AMA054  Recall fuel system - components / operating principles / characteristics
AMA055  Recall fuel system - install / troubleshoot / service / repair
AMA056  Recall fuel system - types
AMA057  Recall fuel/air mixture - idle rich mixture - RPM rise
AMA058  Recall fundamental material properties
AMA059  Recall fuselage stations
AMA060  Recall helicopter control system
AMA061  Recall helicopter control system - collective
AMA062  Recall helicopter drive system - free wheeling unit
AMA063  Recall hydraulic systems - components / operating principles / characteristics
AMA064  Recall hydraulic systems - fluids
AMA065  Recall hydraulic systems - install / inspect / repair / service
AMA066  Recall instrument panel installation - shock mounts
AMA067  Recall instruments - manifold pressure indicating system
AMA068  Recall landing gear system - components / operating principles / characteristics
AMA069  Recall landing gear system - install / inspect / repair / service
AMA070  Recall maintenance publications - service / parts / repair
AMA071  Recall navigation / communication systems - types / operational characteristics
AMA072  Recall oxygen system - components / operating principles / characteristics
AMA073  Recall oxygen system - install / inspect / repair / service / precautions
AMA074  Recall oxygen system - quality / types / contamination / cylinders / pressure
AMA075  Recall physics - work forces
AMA076  Recall pitot-static system - components / operating principles / characteristics
AMA077  Recall pitot-static system - install / inspect / repair / service
AMA078  Recall plastic fundamentals - installation / cleaning / repair / characteristics
AMA079  Recall pneumatic system - components / operating principles / characteristics
AMA080  Recall pressurization system - components / operating principles / characteristics
AMA081  Recall primary flight controls - inspect / adjust / repair
AMA082  Recall primary flight controls - types / purpose / functionality
AMA083  Recall radar altimeter - indications
AMA084  Recall radar altimeter - signals
AMA085  Recall radio system - components / operating principles / characteristics
AMA086  Recall radio system - install / inspect / repair / service
AMA087  Recall radio system - license requirements / frequencies
AMA088  Recall regulations - airworthiness requirements / responsibilities
AMA089  Recall regulations - maintenance reports / records / entries
AMA090  Recall regulations - privileges / limitations of maintenance certificates / licenses
AMA091  Recall rotor system - components / operating principles / characteristics
AMA092  Recall secondary flight control system - inspect / adjust / repair
AMA093  Recall secondary flight control system - types / purpose / functionality
AMA094  Recall sheet metal fabrication - blueprints / shaping / construction
AMA095  Recall smoke detection systems - types / components / operating principles / characteristics
AMA096  Recall static pressure system - install / inspect / repair / service
AMA097  Recall tires - install / inspect / repair / service / storage
AMA098  Recall turbine engines - components / operational characteristics / associated instruments
AMA099  Recall type certificate data sheet (TCDS) / supplemental type certificate (STC)
AMA100  Recall weight and balance - equipment installation / CG / general principles
AMA101  Recall welding / soldering - types / techniques / equipment
AMA102  Recall wooden components - failures / decay / patching / gluing / substitutions
AMP001  Recall aircraft alternators - components / operating principles / characteristics
AMP002  Recall aircraft batteries - capacity / charging / types / storage / rating / precautions
AMP003  Recall aircraft carburetor - icing / anti-icing
AMP004  Recall aircraft component markings
AMP005  Recall aircraft cooling system - components / operating principles / characteristics
AMP006  Recall aircraft electrical system - install / inspect / repair / service
AMP007  Recall aircraft engine - inspections / cleaning
AMP008  Recall aircraft engines - components / operating principles / characteristics
AMP009  Recall aircraft engines - indicating system
AMP010  Recall aircraft fire classifications
AMP011  Recall aircraft hydraulic systems - components / operating principles / characteristics
AMP012  Recall aircraft instruments - types / components / operating principles / characteristics / markings
AMP013  Recall airflow systems - Bellmouth compressor inlet
AMP014  Recall airframe - inspections
AMP015  Recall altitude compensator / aneroid valve
AMP016  Recall anti-icing / deicing - methods / systems
AMP017  Recall Auxiliary Power Units - components / operating principles / characteristics
AMP018  Recall Auxiliary Power Units - install / inspect / repair / service
AMP019  Recall axial flow compressor - components / operating principles / characteristics
AMP020  Recall basic physics - matter / energy / gas
AMP021  Recall carburetor - effects of carburetor heat / heat control
AMP022  Recall carburetors - components / operating principles / characteristics
AMP023  Recall carburetors - install / inspect / repair / service
AMP024  Recall data - approved
AMP025  Recall DC electric motors - components / operating principles / characteristics
AMP026  Recall electrical system - components / operating principles / characteristics
AMP027  Recall engine cooling system - components / operating principles / characteristics
AMP028  Recall engine cooling system - install / inspect / repair / service
AMP029  Recall engine lubricating oils - function / grades / viscosity / types
AMP030  Recall engine lubricating system - components / operating principles / characteristics
AMP031  Recall engine lubricating system - install / inspect / repair / service
AMP032  Recall engine operations - thrust / thrust reverser
AMP033  Recall engine pressure ratio - EPR
AMP034  Recall fire detection system - types / components / operating principles / characteristics
AMP035  Recall fire detection systems - install / inspect / repair / service
AMP036  Recall fire extinguishing systems - components / operating principles / characteristics
AMP037  Recall float type carburetor - components / operating principles / characteristics
AMP038  Recall float type carburetor - install / inspect / repair / service
AMP039  Recall fuel - types / characteristics / contamination / fueling / defueling / dumping
AMP040  Recall fuel / oil - anti-icing / deicing
AMP041  Recall fuel system - components / operating principles / characteristics
AMP042  Recall fuel system - install / troubleshoot / service / repair
AMP043  Recall fuel system - types
AMP044  Recall generator system - components / operating principles / characteristics
AMP045  Recall information on an Airworthiness Directive
AMP046  Recall magneto - components / operating principles / characteristics
AMP047  Recall magneto - install / inspect / repair / service
AMP048  Recall maintenance publications - service / parts / repair
AMP049  Recall piston assembly - components / operating principles / characteristics
AMP050  Recall powerplant design - structures / components
AMP051  Recall pressure type carburetor - components / operating principles / characteristics
AMP052  Recall propeller system - install / inspect / repair / service
AMP053  Recall propeller system - types/ components / operating principles / characteristics
AMP054  Recall radial engine - components / operating principles / characteristics
AMP055  Recall radial engine - install / inspect / repair / service
AMP056  Recall reciprocating engine - components / operating principles / characteristics
AMP057  Recall reciprocating engine - install / inspect / repair / service
AMP058  Recall regulations - maintenance reports / records / entries
AMP059  Recall regulations - privileges / limitations of maintenance certificates / licenses
AMP060  Recall regulations - privileges of approved maintenance organizations
AMP061  Recall rotor system - components / operating principles / characteristics
AMP062  Recall sea level - standard temperature / pressure
AMP063  Recall starter / ignition system - components / operating principles / characteristics
AMP064  Recall starter / ignition system - install / inspect / repair / service
AMP065  Recall starter system - starting procedures
AMP066  Recall thermocouples - components / operating principles / characteristics
AMP067  Recall thermocouples - install / inspect / repair / service
AMP068  Recall turbine engines - components / operational characteristics / associated instruments
AMP069  Recall turbine engines - install / inspect / repair / service / hazards
AMP070  Recall turbocharger system - components / operating principles / characteristics
AMP071  Recall turbojet - components / operating principles / characteristics
AMP072  Recall type certificate data sheet (TCDS) / supplemental type certificate (STC)
AMP073  Recall welding types / techniques / equipment

